date,city,temperature_c,humidity_percent,rainfall_mm,wind_speed_kmh,pressure_hpa,weather_condition
2025-01-01,Chennai,28.5,72,0.0,14.2,1012.5,Sunny
2025-01-02,Chennai,29.1,70,0.0,12.8,1011.8,Sunny
2025-01-03,Chennai,27.8,78,4.5,18.6,1009.2,Cloudy
2025-01-04,Chennai,26.4,85,12.8,22.1,1007.5,Rainy
2025-01-05,Chennai,25.9,88,18.4,25.3,1005.8,Rainy
2025-01-06,Madurai,30.2,65,0.0,10.5,1013.1,Sunny
2025-01-07,Madurai,31.5,61,0.0,11.2,1014.0,Sunny
2025-01-08,Madurai,29.8,73,3.2,15.7,1010.6,Cloudy
2025-01-09,Madurai,28.6,80,8.7,19.4,1008.9,Rainy
2025-01-10,Madurai,30.1,68,0.0,13.1,1012.4,Sunny
2025-01-11,Coimbatore,24.8,76,2.1,9.8,1015.2,Cloudy
2025-01-12,Coimbatore,25.6,72,0.0,11.4,1016.1,Sunny
2025-01-13,Coimbatore,23.9,82,15.6,17.8,1010.3,Rainy
2025-01-14,Coimbatore,24.5,85,21.3,20.5,1008.7,Rainy
2025-01-15,Coimbatore,26.2,70,0.0,12.6,1014.8,Sunny
2025-01-16,Trichy,29.7,69,0.0,15.2,1012.9,Sunny
2025-01-17,Trichy,30.4,66,0.0,14.8,1013.5,Sunny
2025-01-18,Trichy,28.9,75,5.6,18.2,1010.1,Cloudy
2025-01-19,Trichy,,83,13.2,21.7,1007.8,Rainy
2025-01-20,Trichy,27.5,79,9.4,,1009.6,Rainy
2025-01-21,Salem,27.1,71,0.0,10.9,1014.2,Sunny
2025-01-22,Salem,28.3,68,0.0,12.5,1015.0,Sunny
2025-01-23,Salem,26.7,77,6.8,16.4,1011.3,Cloudy
2025-01-24,Salem,25.4,84,14.5,19.8,1008.5,Rainy
2025-01-25,Salem,27.8,73,1.2,13.7,1012.1,Cloudy

2029-09-11,Chennai,12.0,12.0,12.0,12.0,12.0,12
2020-02-11,Chennai,12.0,113.0,13.0,12.0,12.0,Sunny
